image,detections_count,summary,raw_image_bytes,full_yolo_json_bytes,structured_json_bytes,annotated_image_bytes,summary_bytes,raw_image_bytes_tx_s_at_9.6_kbps,raw_image_bytes_tx_s_at_100_kbps,raw_image_bytes_tx_s_at_1000_kbps,raw_image_bytes_tx_s_at_10000_kbps,raw_image_bytes_tx_s_at_100000_kbps,full_yolo_json_bytes_tx_s_at_9.6_kbps,full_yolo_json_bytes_tx_s_at_100_kbps,full_yolo_json_bytes_tx_s_at_1000_kbps,full_yolo_json_bytes_tx_s_at_10000_kbps,full_yolo_json_bytes_tx_s_at_100000_kbps,structured_json_bytes_tx_s_at_9.6_kbps,structured_json_bytes_tx_s_at_100_kbps,structured_json_bytes_tx_s_at_1000_kbps,structured_json_bytes_tx_s_at_10000_kbps,structured_json_bytes_tx_s_at_100000_kbps,annotated_image_bytes_tx_s_at_9.6_kbps,annotated_image_bytes_tx_s_at_100_kbps,annotated_image_bytes_tx_s_at_1000_kbps,annotated_image_bytes_tx_s_at_10000_kbps,annotated_image_bytes_tx_s_at_100000_kbps,summary_bytes_tx_s_at_9.6_kbps,summary_bytes_tx_s_at_100_kbps,summary_bytes_tx_s_at_1000_kbps,summary_bytes_tx_s_at_10000_kbps,summary_bytes_tx_s_at_100000_kbps,raw_to_structured_ratio,raw_to_summary_ratio
dataset\sample_100_mix\train__t_7109.jpg,16,"detections=16; classes=Boeing737:2, Boeing747:3, Boeing777:8, Boeing787:3; geo_targets=16; total_ms=638.164",198849,133234,5959,95476,107,165.7075,15.90792,1.590792,0.159079,0.015908,111.028333,10.65872,1.065872,0.106587,0.010659,4.965833,0.47672,0.047672,0.004767,0.000477,79.563333,7.63808,0.763808,0.076381,0.007638,0.089167,0.00856,0.000856,8.6e-05,9e-06,33.369525,1858.401869
dataset\sample_100_mix\train__t_7161.jpg,4,"detections=4; classes=A321:1, Boeing737:1, Boeing787:1, other-airplane:1; geo_targets=4; total_ms=823.807",224686,131905,1726,97656,105,187.238333,17.97488,1.797488,0.179749,0.017975,109.920833,10.5524,1.05524,0.105524,0.010552,1.438333,0.13808,0.013808,0.001381,0.000138,81.38,7.81248,0.781248,0.078125,0.007812,0.0875,0.0084,0.00084,8.4e-05,8e-06,130.177289,2139.866667
dataset\sample_100_mix\train__t_7466.jpg,2,detections=2; classes=Warship:2; geo_targets=2; total_ms=632.158,84348,39359,1015,28777,64,70.29,6.74784,0.674784,0.067478,0.006748,32.799167,3.14872,0.314872,0.031487,0.003149,0.845833,0.0812,0.00812,0.000812,8.1e-05,23.980833,2.30216,0.230216,0.023022,0.002302,0.053333,0.00512,0.000512,5.1e-05,5e-06,83.101478,1317.9375
dataset\sample_100_mix\train__t_7518.jpg,0,detections=0; classes=none; geo_targets=0; total_ms=828.69,291592,158970,307,119017,58,242.993333,23.32736,2.332736,0.233274,0.023327,132.475,12.7176,1.27176,0.127176,0.012718,0.255833,0.02456,0.002456,0.000246,2.5e-05,99.180833,9.52136,0.952136,0.095214,0.009521,0.048333,0.00464,0.000464,4.6e-05,5e-06,949.811075,5027.448276
dataset\sample_100_mix\train__t_7604.jpg,15,"detections=15; classes=Baseball Field:2, Dump Truck:1, Small Car:5, Van:7; geo_targets=15; total_ms=657.229",212609,128929,5534,92568,107,177.174167,17.00872,1.700872,0.170087,0.017009,107.440833,10.31432,1.031432,0.103143,0.010314,4.611667,0.44272,0.044272,0.004427,0.000443,77.14,7.40544,0.740544,0.074054,0.007405,0.089167,0.00856,0.000856,8.6e-05,9e-06,38.418684,1987.0
dataset\sample_100_mix\train__t_7729.jpg,5,"detections=5; classes=A220:1, Intersection:1, other-airplane:3; geo_targets=5; total_ms=624.484",171993,108809,2078,80069,95,143.3275,13.75944,1.375944,0.137594,0.013759,90.674167,8.70472,0.870472,0.087047,0.008705,1.731667,0.16624,0.016624,0.001662,0.000166,66.724167,6.40552,0.640552,0.064055,0.006406,0.079167,0.0076,0.00076,7.6e-05,8e-06,82.768527,1810.452632
dataset\sample_100_mix\train__t_796.jpg,147,"detections=147; classes=Baseball Field:2, Basketball Court:2, Cargo Truck:1, Dump Truck:5, Intersection:1, Small Car:89, Van:47; geo_targets=147; total_ms=931.992",499158,477660,51709,319484,162,415.965,39.93264,3.993264,0.399326,0.039933,398.05,38.2128,3.82128,0.382128,0.038213,43.090833,4.13672,0.413672,0.041367,0.004137,266.236667,25.55872,2.555872,0.255587,0.025559,0.135,0.01296,0.001296,0.00013,1.3e-05,9.653213,3081.222222
dataset\sample_100_mix\train__t_8404.jpg,13,"detections=13; classes=A220:4, A330:2, A350:2, Boeing737:1, Boeing747:2, Boeing777:1, other-airplane:1; geo_targets=13; total_ms=635.831",307077,196050,4887,143394,136,255.8975,24.56616,2.456616,0.245662,0.024566,163.375,15.684,1.5684,0.15684,0.015684,4.0725,0.39096,0.039096,0.00391,0.000391,119.495,11.47152,1.147152,0.114715,0.011472,0.113333,0.01088,0.001088,0.000109,1.1e-05,62.835482,2257.919118
dataset\sample_100_mix\train__t_8477.jpg,5,"detections=5; classes=Cargo Truck:2, Dry Cargo Ship:3; geo_targets=5; total_ms=634.478",162395,122241,2078,90143,86,135.329167,12.9916,1.29916,0.129916,0.012992,101.8675,9.77928,0.977928,0.097793,0.009779,1.731667,0.16624,0.016624,0.001662,0.000166,75.119167,7.21144,0.721144,0.072114,0.007211,0.071667,0.00688,0.000688,6.9e-05,7e-06,78.149663,1888.313953
dataset\sample_100_mix\train__t_864.jpg,79,"detections=79; classes=Cargo Truck:23, Dump Truck:11, Small Car:8, Trailer:4, Van:33; geo_targets=79; total_ms=881.734",454996,380593,27834,264591,118,379.163333,36.39968,3.639968,0.363997,0.0364,317.160833,30.44744,3.044744,0.304474,0.030447,23.195,2.22672,0.222672,0.022267,0.002227,220.4925,21.16728,2.116728,0.211673,0.021167,0.098333,0.00944,0.000944,9.4e-05,9e-06,16.34677,3855.898305
dataset\sample_100_mix\train__t_8756.jpg,7,"detections=7; classes=Basketball Court:2, Warship:5; geo_targets=7; total_ms=647.124",164697,121912,2769,89378,84,137.2475,13.17576,1.317576,0.131758,0.013176,101.593333,9.75296,0.975296,0.09753,0.009753,2.3075,0.22152,0.022152,0.002215,0.000222,74.481667,7.15024,0.715024,0.071502,0.00715,0.07,0.00672,0.000672,6.7e-05,7e-06,59.478873,1960.678571
dataset\sample_100_mix\train__t_8919.jpg,42,"detections=42; classes=Dump Truck:11, Intersection:1, Small Car:19, Van:11; geo_targets=42; total_ms=648.747",291584,212919,15008,148455,108,242.986667,23.32672,2.332672,0.233267,0.023327,177.4325,17.03352,1.703352,0.170335,0.017034,12.506667,1.20064,0.120064,0.012006,0.001201,123.7125,11.8764,1.18764,0.118764,0.011876,0.09,0.00864,0.000864,8.6e-05,9e-06,19.428571,2699.851852
dataset\sample_100_mix\train__t_901.jpg,82,"detections=82; classes=Cargo Truck:1, Dump Truck:14, Intersection:4, Small Car:36, Van:27; geo_targets=82; total_ms=879.703",583268,488355,29104,344460,123,486.056667,46.66144,4.666144,0.466614,0.046661,406.9625,39.0684,3.90684,0.390684,0.039068,24.253333,2.32832,0.232832,0.023283,0.002328,287.05,27.5568,2.75568,0.275568,0.027557,0.1025,0.00984,0.000984,9.8e-05,1e-05,20.040819,4742.01626
dataset\sample_100_mix\train__t_9171.jpg,2,detections=2; classes=Dry Cargo Ship:2; geo_targets=2; total_ms=629.841,201642,105499,1020,78380,71,168.035,16.13136,1.613136,0.161314,0.016131,87.915833,8.43992,0.843992,0.084399,0.00844,0.85,0.0816,0.00816,0.000816,8.2e-05,65.316667,6.2704,0.62704,0.062704,0.00627,0.059167,0.00568,0.000568,5.7e-05,6e-06,197.688235,2840.028169
dataset\sample_100_mix\train__t_9495.jpg,35,"detections=35; classes=Bus:1, Cargo Truck:4, Dump Truck:2, Intersection:2, Small Car:18, Van:8; geo_targets=35; total_ms=658.048",328811,239052,12633,169834,128,274.009167,26.30488,2.630488,0.263049,0.026305,199.21,19.12416,1.912416,0.191242,0.019124,10.5275,1.01064,0.101064,0.010106,0.001011,141.528333,13.58672,1.358672,0.135867,0.013587,0.106667,0.01024,0.001024,0.000102,1e-05,26.027943,2568.835938
dataset\sample_100_mix\train__t_9739.jpg,6,"detections=6; classes=Boeing747:1, Boeing777:2, Boeing787:3; geo_targets=6; total_ms=639.91",154867,88829,2429,64821,91,129.055833,12.38936,1.238936,0.123894,0.012389,74.024167,7.10632,0.710632,0.071063,0.007106,2.024167,0.19432,0.019432,0.001943,0.000194,54.0175,5.18568,0.518568,0.051857,0.005186,0.075833,0.00728,0.000728,7.3e-05,7e-06,63.757513,1701.835165
dataset\sample_100_mix\train__t_9825.jpg,21,"detections=21; classes=Dump Truck:4, Intersection:3, Small Car:3, Van:11; geo_targets=21; total_ms=637.943",220886,175949,7718,126194,106,184.071667,17.67088,1.767088,0.176709,0.017671,146.624167,14.07592,1.407592,0.140759,0.014076,6.431667,0.61744,0.061744,0.006174,0.000617,105.161667,10.09552,1.009552,0.100955,0.010096,0.088333,0.00848,0.000848,8.5e-05,8e-06,28.619591,2083.830189
dataset\sample_100_mix\val__v_1023.jpg,15,"detections=15; classes=Dump Truck:6, Small Car:5, Van:4; geo_targets=15; total_ms=639.521",270642,195617,5610,142526,89,225.535,21.65136,2.165136,0.216514,0.021651,163.014167,15.64936,1.564936,0.156494,0.015649,4.675,0.4488,0.04488,0.004488,0.000449,118.771667,11.40208,1.140208,0.114021,0.011402,0.074167,0.00712,0.000712,7.1e-05,7e-06,48.242781,3040.921348
dataset\sample_100_mix\val__v_1056.jpg,17,"detections=17; classes=A220:4, A321:5, Boeing737:6, Boeing777:1, other-airplane:1; geo_targets=17; total_ms=635.535",205802,137108,6241,98172,115,171.501667,16.46416,1.646416,0.164642,0.016464,114.256667,10.96864,1.096864,0.109686,0.010969,5.200833,0.49928,0.049928,0.004993,0.000499,81.81,7.85376,0.785376,0.078538,0.007854,0.095833,0.0092,0.00092,9.2e-05,9e-06,32.975805,1789.582609
dataset\sample_100_mix\val__v_1088.jpg,10,"detections=10; classes=A220:2, A321:1, Boeing777:1, other-airplane:6; geo_targets=10; total_ms=846.204",206288,188572,3837,138573,102,171.906667,16.50304,1.650304,0.16503,0.016503,157.143333,15.08576,1.508576,0.150858,0.015086,3.1975,0.30696,0.030696,0.00307,0.000307,115.4775,11.08584,1.108584,0.110858,0.011086,0.085,0.00816,0.000816,8.2e-05,8e-06,53.762836,2022.431373
dataset\sample_100_mix\val__v_1324.jpg,46,"detections=46; classes=Cargo Truck:13, Dump Truck:2, Small Car:10, Van:21; geo_targets=46; total_ms=859.68",557223,424939,16320,306485,106,464.3525,44.57784,4.457784,0.445778,0.044578,354.115833,33.99512,3.399512,0.339951,0.033995,13.6,1.3056,0.13056,0.013056,0.001306,255.404167,24.5188,2.45188,0.245188,0.024519,0.088333,0.00848,0.000848,8.5e-05,8e-06,34.143566,5256.820755
dataset\sample_100_mix\val__v_137.jpg,2,detections=2; classes=Dry Cargo Ship:2; geo_targets=2; total_ms=634.785,55625,27821,1009,20129,71,46.354167,4.45,0.445,0.0445,0.00445,23.184167,2.22568,0.222568,0.022257,0.002226,0.840833,0.08072,0.008072,0.000807,8.1e-05,16.774167,1.61032,0.161032,0.016103,0.00161,0.059167,0.00568,0.000568,5.7e-05,6e-06,55.12884,783.450704
dataset\sample_100_mix\val__v_1536.jpg,6,"detections=6; classes=A321:1, Intersection:1, other-airplane:4; geo_targets=6; total_ms=642.912",171037,107747,2444,78998,95,142.530833,13.68296,1.368296,0.13683,0.013683,89.789167,8.61976,0.861976,0.086198,0.00862,2.036667,0.19552,0.019552,0.001955,0.000196,65.831667,6.31984,0.631984,0.063198,0.00632,0.079167,0.0076,0.00076,7.6e-05,8e-06,69.982406,1800.389474
dataset\sample_100_mix\val__v_1836.jpg,3,"detections=3; classes=Dry Cargo Ship:1, Passenger Ship:2; geo_targets=3; total_ms=637.322",112232,71812,1376,52847,89,93.526667,8.97856,0.897856,0.089786,0.008979,59.843333,5.74496,0.574496,0.05745,0.005745,1.146667,0.11008,0.011008,0.001101,0.00011,44.039167,4.22776,0.422776,0.042278,0.004228,0.074167,0.00712,0.000712,7.1e-05,7e-06,81.563953,1261.033708
dataset\sample_100_mix\val__v_2364.jpg,5,"detections=5; classes=Boeing747:4, other-airplane:1; geo_targets=5; total_ms=635.047",123162,79490,2074,58082,84,102.635,9.85296,0.985296,0.09853,0.009853,66.241667,6.3592,0.63592,0.063592,0.006359,1.728333,0.16592,0.016592,0.001659,0.000166,48.401667,4.64656,0.464656,0.046466,0.004647,0.07,0.00672,0.000672,6.7e-05,7e-06,59.383799,1466.214286
dataset\sample_100_mix\val__v_2455.jpg,17,"detections=17; classes=Basketball Court:3, Football Field:1, Intersection:2, Motorboat:11; geo_targets=17; total_ms=844.185",379453,297167,6340,218140,123,316.210833,30.35624,3.035624,0.303562,0.030356,247.639167,23.77336,2.377336,0.237734,0.023773,5.283333,0.5072,0.05072,0.005072,0.000507,181.783333,17.4512,1.74512,0.174512,0.017451,0.1025,0.00984,0.000984,9.8e-05,1e-05,59.850631,3084.98374
dataset\sample_100_mix\val__v_327.jpg,2,"detections=2; classes=Cargo Truck:1, Dump Truck:1; geo_targets=2; total_ms=630.22",207464,145620,1001,108486,81,172.886667,16.59712,1.659712,0.165971,0.016597,121.35,11.6496,1.16496,0.116496,0.01165,0.834167,0.08008,0.008008,0.000801,8e-05,90.405,8.67888,0.867888,0.086789,0.008679,0.0675,0.00648,0.000648,6.5e-05,6e-06,207.256743,2561.283951
dataset\sample_100_mix\val__v_3455.jpg,6,"detections=6; classes=A220:3, Boeing747:1, Boeing787:1, other-airplane:1; geo_targets=6; total_ms=841.159",400401,243416,2425,180764,105,333.6675,32.03208,3.203208,0.320321,0.032032,202.846667,19.47328,1.947328,0.194733,0.019473,2.020833,0.194,0.0194,0.00194,0.000194,150.636667,14.46112,1.446112,0.144611,0.014461,0.0875,0.0084,0.00084,8.4e-05,8e-06,165.113814,3813.342857
dataset\sample_100_mix\val__v_3877.jpg,3,detections=3; classes=Dry Cargo Ship:3; geo_targets=3; total_ms=831.89,351223,172116,1373,128079,70,292.685833,28.09784,2.809784,0.280978,0.028098,143.43,13.76928,1.376928,0.137693,0.013769,1.144167,0.10984,0.010984,0.001098,0.00011,106.7325,10.24632,1.024632,0.102463,0.010246,0.058333,0.0056,0.00056,5.6e-05,6e-06,255.806992,5017.471429
dataset\sample_100_mix\val__v_3946.jpg,149,"detections=149; classes=Baseball Field:1, Cargo Truck:5, Dump Truck:2, Intersection:2, Small Car:48, Trailer:1, Van:90; geo_targets=149; total_ms=936.81",611651,483227,52044,323409,152,509.709167,48.93208,4.893208,0.489321,0.048932,402.689167,38.65816,3.865816,0.386582,0.038658,43.37,4.16352,0.416352,0.041635,0.004164,269.5075,25.87272,2.587272,0.258727,0.025873,0.126667,0.01216,0.001216,0.000122,1.2e-05,11.752575,4024.019737
dataset\sample_100_mix\val__v_4094.jpg,6,"detections=6; classes=Small Car:2, Van:4; geo_targets=6; total_ms=836.952",595962,409699,2396,305499,73,496.635,47.67696,4.767696,0.47677,0.047677,341.415833,32.77592,3.277592,0.327759,0.032776,1.996667,0.19168,0.019168,0.001917,0.000192,254.5825,24.43992,2.443992,0.244399,0.02444,0.060833,0.00584,0.000584,5.8e-05,6e-06,248.732053,8163.863014
dataset\sample_100_mix\val__v_4510.jpg,4,"detections=4; classes=Van:3, other-airplane:1; geo_targets=4; total_ms=634.958",172277,110437,1710,81566,78,143.564167,13.78216,1.378216,0.137822,0.013782,92.030833,8.83496,0.883496,0.08835,0.008835,1.425,0.1368,0.01368,0.001368,0.000137,67.971667,6.52528,0.652528,0.065253,0.006525,0.065,0.00624,0.000624,6.2e-05,6e-06,100.746784,2208.679487
dataset\sample_100_mix\val__v_4724.jpg,44,"detections=44; classes=Dump Truck:4, Intersection:1, Small Car:21, Van:18; geo_targets=44; total_ms=647.566",274387,219665,15814,152908,107,228.655833,21.95096,2.195096,0.21951,0.021951,183.054167,17.5732,1.75732,0.175732,0.017573,13.178333,1.26512,0.126512,0.012651,0.001265,127.423333,12.23264,1.223264,0.122326,0.012233,0.089167,0.00856,0.000856,8.6e-05,9e-06,17.350892,2564.364486
dataset\sample_100_mix\val__v_4847.jpg,4,"detections=4; classes=A330:1, Boeing777:1, other-airplane:2; geo_targets=4; total_ms=631.873",237363,137804,1709,102093,92,197.8025,18.98904,1.898904,0.18989,0.018989,114.836667,11.02432,1.102432,0.110243,0.011024,1.424167,0.13672,0.013672,0.001367,0.000137,85.0775,8.16744,0.816744,0.081674,0.008167,0.076667,0.00736,0.000736,7.4e-05,7e-06,138.889994,2580.032609
dataset\sample_100_mix\val__v_5360.jpg,9,"detections=9; classes=Motorboat:7, other-ship:2; geo_targets=9; total_ms=631.639",247017,171466,3511,125986,80,205.8475,19.76136,1.976136,0.197614,0.019761,142.888333,13.71728,1.371728,0.137173,0.013717,2.925833,0.28088,0.028088,0.002809,0.000281,104.988333,10.07888,1.007888,0.100789,0.010079,0.066667,0.0064,0.00064,6.4e-05,6e-06,70.355169,3087.7125
dataset\sample_100_mix\val__v_5390.jpg,5,"detections=5; classes=A220:2, A321:1, A330:1, Boeing777:1; geo_targets=5; total_ms=841.739",399835,212671,2056,157983,90,333.195833,31.9868,3.19868,0.319868,0.031987,177.225833,17.01368,1.701368,0.170137,0.017014,1.713333,0.16448,0.016448,0.001645,0.000164,131.6525,12.63864,1.263864,0.126386,0.012639,0.075,0.0072,0.00072,7.2e-05,7e-06,194.472276,4442.611111
dataset\sample_100_mix\val__v_5811.jpg,3,"detections=3; classes=A220:1, A330:1, Boeing777:1; geo_targets=3; total_ms=834.735",335258,198109,1350,147590,82,279.381667,26.82064,2.682064,0.268206,0.026821,165.090833,15.84872,1.584872,0.158487,0.015849,1.125,0.108,0.0108,0.00108,0.000108,122.991667,11.8072,1.18072,0.118072,0.011807,0.068333,0.00656,0.000656,6.6e-05,7e-06,248.339259,4088.512195
dataset\sample_100_mix\val__v_611.jpg,56,"detections=56; classes=Baseball Field:2, Basketball Court:2, Dump Truck:8, Intersection:1, Small Car:28, Van:15; geo_targets=56; total_ms=869.387",472141,350730,19915,248133,145,393.450833,37.77128,3.777128,0.377713,0.037771,292.275,28.0584,2.80584,0.280584,0.028058,16.595833,1.5932,0.15932,0.015932,0.001593,206.7775,19.85064,1.985064,0.198506,0.019851,0.120833,0.0116,0.00116,0.000116,1.2e-05,23.707808,3256.144828
dataset\sample_100_mix\val__v_6680.jpg,5,"detections=5; classes=Boeing737:1, other-airplane:4; geo_targets=5; total_ms=835.958",307889,180342,2091,133710,84,256.574167,24.63112,2.463112,0.246311,0.024631,150.285,14.42736,1.442736,0.144274,0.014427,1.7425,0.16728,0.016728,0.001673,0.000167,111.425,10.6968,1.06968,0.106968,0.010697,0.07,0.00672,0.000672,6.7e-05,7e-06,147.244859,3665.345238
dataset\sample_100_mix\val__v_6739.jpg,8,detections=8; classes=Dry Cargo Ship:8; geo_targets=8; total_ms=846.531,412818,255918,3151,189595,71,344.015,33.02544,3.302544,0.330254,0.033025,213.265,20.47344,2.047344,0.204734,0.020473,2.625833,0.25208,0.025208,0.002521,0.000252,157.995833,15.1676,1.51676,0.151676,0.015168,0.059167,0.00568,0.000568,5.7e-05,6e-06,131.011742,5814.338028
dataset\sample_100_mix\val__v_723.jpg,4,"detections=4; classes=A321:1, Boeing787:1, other-airplane:2; geo_targets=4; total_ms=631.905",131303,96759,1703,71311,92,109.419167,10.50424,1.050424,0.105042,0.010504,80.6325,7.74072,0.774072,0.077407,0.007741,1.419167,0.13624,0.013624,0.001362,0.000136,59.425833,5.70488,0.570488,0.057049,0.005705,0.076667,0.00736,0.000736,7.4e-05,7e-06,77.100998,1427.206522
dataset\sample_100_mix\val__v_7475.jpg,17,"detections=17; classes=Dry Cargo Ship:14, Engineering Ship:2, Motorboat:1; geo_targets=17; total_ms=624.146",103107,69995,6355,47750,107,85.9225,8.24856,0.824856,0.082486,0.008249,58.329167,5.5996,0.55996,0.055996,0.0056,5.295833,0.5084,0.05084,0.005084,0.000508,39.791667,3.82,0.382,0.0382,0.00382,0.089167,0.00856,0.000856,8.6e-05,9e-06,16.224548,963.616822
dataset\sample_100_mix\val__v_7622.jpg,66,"detections=66; classes=Baseball Field:1, Cargo Truck:3, Dump Truck:10, Football Field:1, Intersection:1, Small Car:16, Tennis Court:1, Van:33; geo_targets=66; total_ms=896.518",518254,421225,23346,298431,175,431.878333,41.46032,4.146032,0.414603,0.04146,351.020833,33.698,3.3698,0.33698,0.033698,19.455,1.86768,0.186768,0.018677,0.001868,248.6925,23.87448,2.387448,0.238745,0.023874,0.145833,0.014,0.0014,0.00014,1.4e-05,22.198835,2961.451429
dataset\sample_100_mix\val__v_7818.jpg,4,"detections=4; classes=Dry Cargo Ship:3, other-ship:1; geo_targets=4; total_ms=638.664",222706,126731,1732,93769,85,185.588333,17.81648,1.781648,0.178165,0.017816,105.609167,10.13848,1.013848,0.101385,0.010138,1.443333,0.13856,0.013856,0.001386,0.000139,78.140833,7.50152,0.750152,0.075015,0.007502,0.070833,0.0068,0.00068,6.8e-05,7e-06,128.583141,2620.070588
dataset\sample_100_mix\val__v_7922.jpg,273,"detections=273; classes=Cargo Truck:3, Dump Truck:47, Small Car:112, Tennis Court:6, Van:105; geo_targets=273; total_ms=973.908",431130,452603,95604,267771,127,359.275,34.4904,3.44904,0.344904,0.03449,377.169167,36.20824,3.620824,0.362082,0.036208,79.67,7.64832,0.764832,0.076483,0.007648,223.1425,21.42168,2.142168,0.214217,0.021422,0.105833,0.01016,0.001016,0.000102,1e-05,4.509539,3394.724409
